Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,< 18 years,2.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 18 - 24 years,1.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 18 - 24 years,1.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 25 - 34 years,3.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 25 - 34 years,3.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 35 - 44 years,6.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 35 - 44 years,6.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 45 - 54 years,9.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 45 - 54 years,9.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 55 - 64 years,10.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 55 - 64 years,10.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 65+ years,12,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & 65+ years,12,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & < 18 years,2.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Female & < 18 years,2.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 18 - 24 years,1.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 18 - 24 years,1.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 25 - 34 years,2.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 25 - 34 years,2.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 35 - 44 years,4.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 35 - 44 years,4.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 45 - 54 years,6.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 45 - 54 years,6.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 55 - 64 years,8.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 55 - 64 years,8.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 65+ years,10.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & 65+ years,10.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & < 18 years,1.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group by Sex,Male & < 18 years,1.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Region,NYS Excl NYC,8.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Region,NYS Excl NYC,8.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Region,New York City,6.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Region,New York City,6.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Sex,Female,8.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Sex,Female,8.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Sex,Male,7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Sex,Male,7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Total,New York State,8.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Total,New York State,8.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,18 - 24 years,1.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,18 - 24 years,1.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,25 - 34 years,3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,25 - 34 years,3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,35 - 44 years,5.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,35 - 44 years,5.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,45 - 54 years,7.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,45 - 54 years,7.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,55 - 64 years,9.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,55 - 64 years,9.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,65+ years,10.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,65+ years,10.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,< 18 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group,< 18 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group by Sex,Female & 18 - 24 years,1.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group by Sex,Female & 18 - 24 years,1.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group by Sex,Female & 25 - 34 years,3.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group by Sex,Female & 25 - 34 years,3.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2022,Age Group by Sex,Female & 35 - 44 years,6.3,Data Source: NYS PMP Data as of April 2024
